Session,Mike_Score,Preeta_Score,Mike_Session_Total,Preeta_Session_Total,Mike_Overall_Total,Preeta_Overall_Total
1,-1,10,-1,10,55,95
1,2,12,1,22,57,107
1,5,15,6,37,62,122
1,4,19,10,56,66,141
1,4,30,14,86,70,171
1,4,8,18,94,74,179
1,14,2,32,96,88,181
1,2,12,34,108,90,193
1,1,6,35,114,91,199
1,-1,19,34,133,90,218
1,5,8,39,141,95,226
1,10,3,49,144,105,229
1,13,4,62,148,118,233
1,4,13,66,161,122,246
2,4,16,4,16,126,262
2,3,3,7,19,129,265
2,3,14,10,33,132,279
2,2,0,12,33,134,279
2,-1,14,11,47,133,293
3,5,9,5,9,138,302
3,6,13,11,22,144,315
3,7,4,18,26,151,319
3,7,5,25,31,158,324
3,0,5,25,36,158,329
3,8,5,33,41,166,334
3,12,1,45,42,178,335
3,11,5,56,47,189,340
3,11,2,67,49,200,342
3,6,5,73,54,206,347
3,12,2,85,56,218,349
3,9,6,94,62,227,355
3,6,3,100,65,233,358
3,15,0,115,65,248,358
3,19,3,134,68,267,361
3,6,1,140,69,273,362
3,16,0,156,69,289,362
3,0,10,156,79,289,372
3,5,16,161,95,294,388
4,26,4,26,4,320,392
4,13,4,39,8,333,396
4,9,3,48,11,342,399
4,2,13,50,24,344,412
4,21,3,71,27,365,415
4,11,0,82,27,376,415
4,4,14,86,41,380,429
4,4,24,90,65,384,453
4,4,14,94,79,388,467
4,3,6,97,85,391,473
4,3,21,100,106,394,494
4,11,5,111,111,405,499
4,14,2,125,113,419,501
4,2,9,127,122,421,510
4,0,7,127,129,421,517
4,28,3,155,132,449,520
5,-1,3,-1,3,448,523
5,13,2,12,5,461,525
5,4,9,16,14,465,534
5,4,10,20,24,469,544
5,16,5,36,29,485,549
5,2,9,38,38,487,558
5,14,3,52,41,501,561
5,13,-1,65,40,514,560
5,16,3,81,43,530,563
5,17,17,98,60,547,580
5,7,4,105,64,554,584
6,2,6,2,6,556,590
6,0,2,2,8,556,592
6,1,5,3,13,557,597
6,2,14,5,27,559,611
6,0,2,5,29,559,613
6,4,5,9,34,563,618
6,21,3,30,37,584,621
6,14,2,44,39,598,623
6,16,0,60,39,614,623
7,11,0,11,0,625,623
7,1,15,12,15,626,638
7,10,3,22,18,636,641
7,11,2,33,20,647,643
